Uniprot ID,Protein Name,Gene Name,Function
Q9UHL4,Dipeptidyl peptidase 2,DPP7,Plays an important role in the degradation of some oligopeptides.1 Publication
Q86VZ4,Low-density lipoprotein receptor-related protein 11,LRP11,Curated
Q9UHX3,Adhesion G protein-coupled receptor E2,ADGRE2,"Cell surface receptor that binds to the chondroitin sulfate moiety of glycosaminoglycan chains and promotes cell attachment. Promotes granulocyte chemotaxis, degranulation and adhesion. In macrophages, promotes the release of inflammatory cytokines, including IL8 and TNF. Signals probably through G-proteins. Is a regulator of mast cell degranulation (PubMed:26841242).5 Publications"
Q6UWV6,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,ENPP7,"Choline-specific phosphodiesterase that hydrolyzes sphingomyelin releasing the ceramide and phosphocholine and therefore is involved in sphingomyelin digestion, ceramide formation, and fatty acid (FA) absorption in the gastrointestinal tract (PubMed:12885774, PubMed:12671034, PubMed:15205117, PubMed:16255717, PubMed:28292932). Has also phospholipase C activity and can also cleave phosphocholine from palmitoyl lyso-phosphatidylcholine and platelet-activating factor (PAF) leading to its inactivation (PubMed:16255717, PubMed:12885774). Does not have nucleotide pyrophosphatase activity (PubMed:12885774). May promote cholesterol absorption by affecting the levels of sphingomyelin derived from either diet or endogenous sources, in the intestinal lumen (By similarity).By similarity"
Q8WTU2,Scavenger receptor cysteine-rich domain-containing group B protein,SSC4D,Curated
Q8NI22,Multiple coagulation factor deficiency protein 2,MCFD2,The MCFD2-LMAN1 complex forms a specific cargo receptor for the ER-to-Golgi transport of selected proteins. Plays a role in the secretion of coagulation factors.1 Publication
Q9BYZ8,Regenerating islet-derived protein 4,REG4,Calcium-independent lectin displaying mannose-binding specificity and able to maintain carbohydrate recognition activity in an acidic environment. May be involved in inflammatory and metaplastic responses of the gastrointestinal epithelium.2 Publications
Q8NBJ7,Inactive C-alpha-formylglycine-generating enzyme 2,SUMF2,Lacks formylglycine generating activity and is unable to convert newly synthesized inactive sulfatases to their active form. Inhibits the activation of sulfatases by SUMF1.3 Publications
Q8WVQ1,Soluble calcium-activated nucleotidase 1,CANT1,"Calcium-dependent nucleotidase with a preference for UDP. The order of activity with different substrates is UDP > GDP > UTP > GTP. Has very low activity towards ADP and even lower activity towards ATP. Does not hydrolyze AMP and GMP (PubMed:12234496, PubMed:15248776, PubMed:15006348, PubMed:16835225). Involved in proteoglycan synthesis (PubMed:22539336).5 Publications"
P29017,T-cell surface glycoprotein CD1c,CD1C,Antigen-presenting protein that binds self and non-self lipid and glycolipid antigens and presents them to T-cell receptors on natural killer T-cells.4 Publications
P22466,Galanin peptides,GAL,"Endocrine hormone of the central and peripheral nervous systems that binds and activates the G protein-coupled receptors GALR1, GALR2, and GALR3. This small neuropeptide may regulate diverse physiologic functions including contraction of smooth muscle of the gastrointestinal and genitourinary tract, growth hormone and insulin release and adrenal secretion.3 Publications"
P19022,Cadherin-2,CDH2,"Calcium-dependent cell adhesion protein; preferentially mediates homotypic cell-cell adhesion by dimerization with a CDH2 chain from another cell. Cadherins may thus contribute to the sorting of heterogeneous cell types. Acts as a regulator of neural stem cells quiescence by mediating anchorage of neural stem cells to ependymocytes in the adult subependymal zone: upon cleavage by MMP24, CDH2-mediated anchorage is affected, leading to modulate neural stem cell quiescence. CDH2 may be involved in neuronal recognition mechanism. In hippocampal neurons, may regulate dendritic spine density.By similarity"
Q06418,Tyrosine-protein kinase receptor TYRO3,TYRO3,"Receptor tyrosine kinase that transduces signals from the extracellular matrix into the cytoplasm by binding to several ligands including TULP1 or GAS6. Regulates many physiological processes including cell survival, migration and differentiation. Ligand binding at the cell surface induces dimerization and autophosphorylation of TYRO3 on its intracellular domain that provides docking sites for downstream signaling molecules. Following activation by ligand, interacts with PIK3R1 and thereby enhances PI3-kinase activity. Activates the AKT survival pathway, including nuclear translocation of NF-kappa-B and up-regulation of transcription of NF-kappa-B-regulated genes. TYRO3 signaling plays a role in various processes such as neuron protection from excitotoxic injury, platelet aggregation and cytoskeleton reorganization. Plays also an important role in inhibition of Toll-like receptors (TLRs)-mediated innate immune response by activating STAT1, which selectively induces production of suppressors of cytokine signaling SOCS1 and SOCS3.1 Publication"
P46109,Crk-like protein,CRKL,May mediate the transduction of intracellular signals.
Q8WX77,Insulin-like growth factor-binding protein-like 1,IGFBPL1,IGF-binding proteins prolong the half-life of IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs in cell culture. They alter the interaction of IGFs with their cell surface receptors (By similarity). May be a putative tumor suppressor protein.By similarity1 Publication
Q9BZR6,Reticulon-4 receptor,RTN4R,"Receptor for RTN4, OMG and MAG (PubMed:12037567, PubMed:12068310, PubMed:12426574, PubMed:12089450, PubMed:16712417, PubMed:18411262, PubMed:12839991, PubMed:19052207). Functions as receptor for the sialylated gangliosides GT1b and GM1 (PubMed:18411262). Besides, functions as receptor for chondroitin sulfate proteoglycans (By similarity). Can also bind heparin (By similarity). Intracellular signaling cascades are triggered via the coreceptor NGFR (PubMed:12426574). Signaling mediates activation of Rho and downstream reorganization of the actin cytoskeleton (PubMed:16712417, PubMed:22325200). Mediates axonal growth inhibition (PubMed:12839991, PubMed:19052207, PubMed:28892071). Plays a role in regulating axon regeneration and neuronal plasticity in the adult central nervous system. Plays a role in postnatal brain development. Required for normal axon migration across the brain midline and normal formation of the corpus callosum. Protects motoneurons against apoptosis; protection against apoptosis is probably mediated via interaction with MAG. Acts in conjunction with RTN4 and LINGO1 in regulating neuronal precursor cell motility during cortical development. Like other family members, plays a role in restricting the number dendritic spines and the number of synapses that are formed during brain development (PubMed:22325200).By similarity"
P13611,Versican core protein,VCAN,"May play a role in intercellular signaling and in connecting cells with the extracellular matrix. May take part in the regulation of cell motility, growth and differentiation. Binds hyaluronic acid."
P09467,"Fructose-1,6-bisphosphatase 1",FBP1,"Catalyzes the hydrolysis of fructose 1,6-bisphosphate to fructose 6-phosphate in the presence of divalent cations, acting as a rate-limiting enzyme in gluconeogenesis. Plays a role in regulating glucose sensing and insulin secretion of pancreatic beta-cells. Appears to modulate glycerol gluconeogenesis in liver. Important regulator of appetite and adiposity; increased expression of the protein in liver after nutrient excess increases circulating satiety hormones and reduces appetite-stimulating neuropeptides and thus seems to provide a feedback mechanism to limit weight gain.3 Publications"
P01222,Thyrotropin subunit beta,TSHB,Indispensable for the control of thyroid structure and metabolism.
P46379,Large proline-rich protein BAG6,BAG6,"ATP-independent molecular chaperone preventing the aggregation of misfolded and hydrophobic patches-containing proteins (PubMed:21636303). Functions as part of a cytosolic protein quality control complex, the BAG6/BAT3 complex, which maintains these client proteins in a soluble state and participates in their proper delivery to the endoplasmic reticulum or alternatively can promote their sorting to the proteasome where they undergo degradation (PubMed:20516149, PubMed:21636303, PubMed:21743475, PubMed:28104892). The BAG6/BAT3 complex is involved in the post-translational delivery of tail-anchored/type II transmembrane proteins to the endoplasmic reticulum membrane. Recruited to ribosomes, it interacts with the transmembrane region of newly synthesized tail-anchored proteins and together with SGTA and ASNA1 mediates their delivery to the endoplasmic reticulum (PubMed:20516149, PubMed:20676083, PubMed:28104892, PubMed:25535373). Client proteins that cannot be properly delivered to the endoplasmic reticulum are ubiquitinated by RNF126, an E3 ubiquitin-protein ligase associated with BAG6 and are sorted to the proteasome (PubMed:24981174, PubMed:28104892, PubMed:27193484). SGTA which prevents the recruitment of RNF126 to BAG6 may negatively regulate the ubiquitination and the proteasomal degradation of client proteins (PubMed:23129660, PubMed:25179605, PubMed:27193484). Similarly, the BAG6/BAT3 complex also functions as a sorting platform for proteins of the secretory pathway that are mislocalized to the cytosol either delivering them to the proteasome for degradation or to the endoplasmic reticulum (PubMed:21743475). The BAG6/BAT3 complex also plays a role in the endoplasmic reticulum-associated degradation (ERAD), a quality control mechanism that eliminates unwanted proteins of the endoplasmic reticulum through their retrotranslocation to the cytosol and their targeting to the proteasome. It maintains these retrotranslocated proteins in an unfolded yet soluble state condition in the cytosol to ensure their proper delivery to the proteasome (PubMed:21636303). BAG6 is also required for selective ubiquitin-mediated degradation of defective nascent chain polypeptides by the proteasome. In this context, it may participate in the production of antigenic peptides and play a role in antigen presentation in immune response (By similarity). BAG6 is also involved in endoplasmic reticulum stress-induced pre-emptive quality control, a mechanism that selectively attenuates the translocation of newly synthesized proteins into the endoplasmic reticulum and reroutes them to the cytosol for proteasomal degradation. BAG6 may ensure the proper degradation of these proteins and thereby protects the endoplasmic reticulum from protein overload upon stress (PubMed:26565908). By inhibiting the polyubiquitination and subsequent proteasomal degradation of HSPA2 it may also play a role in the assembly of the synaptonemal complex during spermatogenesis (By similarity). Also positively regulates apoptosis by interacting with and stabilizing the proapoptotic factor AIFM1 (By similarity). By controlling the steady-state expression of the IGF1R receptor, indirectly regulates the insulin-like growth factor receptor signaling pathway (PubMed:26692333).By similarity"
